,0,1,2,3,4,5,6,7,8,9,10
225,44,75,35,157567,25898,10591,8186,8160,6174,5426,2824
226,50,70,213,178074,142348,27222,4432,10199,7090,4124,2697
227,50,70,167,178074,142348,27222,4432,10199,7090,4124,2697
228,40,64,149,118535,13632,3846,1232,1847,740,757,1207
229,40,64,-345,118535,13632,3846,1232,1847,740,757,1207
230,51,56,-517,2161749,320737,19576,40895,16860,37948,5937,6679
231,51,56,70,2161749,320737,19576,40895,16860,37948,5937,6679
232,48,61,184,434678,10614,2212,18040,3212,3264,2079,2576
233,48,61,44,434678,10614,2212,18040,3212,3264,2079,2576
234,50,61,118,71517,20396,2373,2341,1766,1309,4668,938
235,50,61,80,71517,20396,2373,2341,1766,1309,4668,938
236,60,66,101,20936,22904,14465,4435,1790,6028,2472,2684
237,60,66,88,20936,22904,14465,4435,1790,6028,2472,2684
238,69,66,26,14804,5598,898,797,2698,2790,1647,970
239,69,66,282,14804,5598,898,797,2698,2790,1647,970
240,53,53,199,607568,96458,9086,6574,4006,1391,960,1575
241,53,53,57,607568,96458,9086,6574,4006,1391,960,1575
242,54,56,121,1220308,362525,132334,70373,138879,32831,17890,16195
243,54,56,86,1220308,362525,132334,70373,138879,32831,17890,16195
244,47,51,133,366159,227074,46508,49660,27568,13023,16739,15390
245,47,51,76,366159,227074,46508,49660,27568,13023,16739,15390
246,40,61,72,12226,7098,6506,903,2328,1946,7185,3301
247,40,61,52,12226,7098,6506,903,2328,1946,7185,3301
248,57,67,52,9327,10029,1975,4729,3879,2789,3153,2226
249,57,67,133,9327,10029,1975,4729,3879,2789,3153,2226
250,64,75,39,45354,7339,5480,2798,2293,2612,5104,2078
251,64,75,26,45354,7339,5480,2798,2293,2612,5104,2078
252,70,80,87,23393,8628,6988,2137,2433,1635,3436,1642
253,70,80,0,23393,8628,6988,2137,2433,1635,3436,1642
254,66,78,84,2511975,230365,83911,65921,21904,30513,7224,4266
255,66,78,-189,2511975,230365,83911,65921,21904,30513,7224,4266
256,64,84,122,15019,11743,7615,9376,3736,3084,717,1369
257,64,84,121,15019,11743,7615,9376,3736,3084,717,1369
258,54,78,59,942290,58182,13686,5633,6960,4012,2081,1379
259,54,78,75,942290,58182,13686,5633,6960,4012,2081,1379
260,56,67,85,5374,8096,1468,700,1527,1167,1137,954
261,60,70,12,19210,3297,4017,655,1739,941,525,347
262,60,70,51,19210,3297,4017,655,1739,941,525,347
263,63,74,134,187924,10698,26473,3823,10869,7059,3523,1588
264,63,74,-109,187924,10698,26473,3823,10869,7059,3523,1588
265,57,69,149,353381,46500,4650,3670,1331,1562,443,638
266,57,69,123,353381,46500,4650,3670,1331,1562,443,638
267,44,69,66,221826,58033,10444,2441,5741,1209,1372,953
268,44,69,-1911,221826,58033,10444,2441,5741,1209,1372,953
269,44,69,-19,889162,190331,11928,35601,81206,61132,17994,6221
270,44,69,101,889162,190331,11928,35601,81206,61132,17994,6221
271,44,69,102,852427,26785,11183,7719,13888,14716,7602,6942
272,44,69,1512,852427,26785,11183,7719,13888,14716,7602,6942
273,44,69,-615,1875257,500984,173173,1618061,411592,336517,285929,117909
274,44,69,187,1875257,500984,173173,1618061,411592,336517,285929,117909
275,48,67,-893,1396462,53779,54755,17949,15714,25169,3277,2001
276,48,67,-307,1396462,53779,54755,17949,15714,25169,3277,2001
277,48,67,-1336,381753,136544,59997,45573,98158,81934,5958,2815
278,48,67,91,381753,136544,59997,45573,98158,81934,5958,2815
279,43,60,-493,932524,666434,50593,226566,112175,71177,13039,8827
280,43,60,35,932524,666434,50593,226566,112175,71177,13039,8827
281,60,69,-999,756083,41500,67792,65417,126198,49816,10662,4873
282,60,69,344,756083,41500,67792,65417,126198,49816,10662,4873
283,60,69,-201,1700763,291353,153554,32926,41215,58872,13155,2099
284,60,69,1045,1700763,291353,153554,32926,41215,58872,13155,2099
285,60,69,1922,1247225,58655,34038,25019,30476,7801,4217,2571
286,60,69,89,1247225,58655,34038,25019,30476,7801,4217,2571
287,60,69,-93,1963246,1725391,89085,566160,89825,168658,75835,39828
288,60,69,156,1963246,1725391,89085,566160,89825,168658,75835,39828
289,80,80,71,2264998,113665,93314,82894,74984,61797,19598,13544
290,80,80,89,2264998,113665,93314,82894,74984,61797,19598,13544
291,75,70,-60,274281,33351,6778,3545,4271,3693,1007,924
292,75,70,19,274281,33351,6778,3545,4271,3693,1007,924
293,61,64,-2,770155,213718,25571,11616,4760,3717,7798,3198
294,61,64,-120,770155,213718,25571,11616,4760,3717,7798,3198
295,54,63,87,220230,13812,6241,4286,6401,2926,884,1056
296,54,63,116,220230,13812,6241,4286,6401,2926,884,1056
297,51,61,85,47721,8190,3865,3790,3669,2422,3149,2522
298,51,61,2047,47721,8190,3865,3790,3669,2422,3149,2522
299,51,61,113,2084518,272176,44771,41322,12836,41827,18990,6839
300,51,61,312,2084518,272176,44771,41322,12836,41827,18990,6839
301,48,74,163,345080,51776,48615,40264,9453,7769,1303,5298
302,48,74,-92,345080,51776,48615,40264,9453,7769,1303,5298
303,48,75,-69,1528025,471616,36507,83394,24437,8573,10552,8845
304,48,75,81,1528025,471616,36507,83394,24437,8573,10552,8845
305,48,75,50,2127448,52672,9662,3596,663,1289,875,455
306,48,75,183,2127448,52672,9662,3596,663,1289,875,455
307,35,70,-357,24202,18557,6265,906,1101,574,241,259
308,35,70,460,24202,18557,6265,906,1101,574,241,259
309,35,69,43,2348905,223002,82337,33883,28769,44530,9157,4048
310,35,69,99,2348905,223002,82337,33883,28769,44530,9157,4048
311,35,60,52,1166613,167007,37914,31109,27371,15165,7171,5288
312,35,60,-50,1166613,167007,37914,31109,27371,15165,7171,5288
313,53,63,84,311854,13724,2637,4503,4558,3306,2601,2757
